Overall,Finishing,Wage,Potential,Reactions,Weight,Value,Age,BallControl,Dribbling,Stamina,Vision,PreferredFoot,Height
92,94,30,92,93,37,188,29,91,86,89,84,1,11
86,76,5,86,87,16,109,28,85,80,94,76,1,10
87,77,11,87,89,26,130,29,83,76,93,80,1,2
86,63,6,89,84,27,130,24,83,79,87,78,0,2
88,71,16,94,86,35,176,23,90,89,91,87,1,14
90,87,23,90,87,25,179,26,88,89,78,79,0,11
82,76,35,85,79,18,53,25,83,79,92,75,1,9
83,70,1,83,80,21,24,31,79,78,86,76,0,8
89,71,22,89,88,16,151,30,92,86,83,90,1,10
94,93,31,94,96,31,191,31,93,92,92,85,1,12
86,63,12,86,86,24,106,30,85,84,83,84,1,2
81,69,19,81,78,23,125,34,83,72,81,86,1,1
86,73,16,86,82,19,96,27,84,80,90,68,0,8
84,60,6,84,82,19,18,33,85,84,75,78,1,9
82,73,35,82,81,12,37,29,82,81,85,82,1,8
84,71,10,84,85,24,80,26,86,81,88,86,1,11
80,59,33,83,81,28,27,23,80,77,76,74,0,2
83,75,35,83,83,26,68,26,84,84,88,81,1,2
86,67,17,86,85,26,95,28,87,83,82,75,0,10
81,75,25,87,79,23,56,21,80,81,79,83,1,2
81,75,25,88,82,29,63,21,78,77,86,79,1,2
77,67,33,77,78,27,144,27,78,82,84,72,0,2
84,82,12,84,82,41,39,33,82,79,74,85,1,13
82,58,4,82,85,29,26,30,81,82,89,71,1,2
82,67,3,84,79,18,56,26,80,74,93,82,1,11
80,67,29,80,74,26,15,31,80,78,91,81,1,11
80,55,4,80,79,34,14,30,74,78,77,76,0,13
82,66,3,82,80,39,42,28,86,86,82,77,0,12
83,71,15,83,77,20,65,27,85,82,89,85,1,10
88,85,18,88,87,13,153,27,86,89,85,82,1,8
84,57,6,87,80,32,80,25,81,82,93,70,0,2
84,70,10,84,86,40,73,29,81,78,79,80,1,13
85,65,4,85,84,21,72,29,77,73,94,75,0,10
86,69,10,88,84,21,140,25,91,90,74,85,1,10
86,78,5,86,87,30,109,28,86,85,85,86,1,11
85,70,9,86,84,21,109,26,89,86,79,88,1,2
82,70,5,82,82,18,23,31,76,78,82,75,1,1
81,72,0,81,81,26,0,27,81,77,92,75,1,2
81,68,21,87,82,30,65,21,81,79,86,78,1,13
80,68,3,80,84,21,14,30,78,77,91,77,1,10
84,68,1,85,84,29,98,26,85,76,79,84,0,12
78,74,21,86,72,26,18,21,81,80,85,76,1,2
81,76,3,84,82,25,53,25,84,85,87,76,1,10
82,78,15,82,83,17,53,26,82,83,86,84,1,9
84,72,16,84,81,27,73,29,88,87,73,86,1,10
81,69,25,84,77,16,59,24,84,78,78,84,1,7
88,84,6,88,87,27,150,27,85,86,73,86,1,11
82,69,35,82,84,25,37,29,82,80,78,83,1,9
78,59,33,78,79,26,144,31,82,81,74,69,0,9
82,82,5,82,82,34,37,30,80,76,82,81,1,10
80,73,21,80,73,37,26,29,83,79,70,76,1,12
86,77,14,86,83,26,115,27,89,87,85,85,1,1
79,72,1,79,79,42,10,26,78,78,88,68,1,13
80,63,3,80,78,26,26,27,81,82,85,76,0,9
80,50,15,84,80,22,27,23,78,79,86,67,0,2
81,70,33,81,82,26,26,31,79,75,88,78,1,11
85,69,11,87,87,31,115,25,88,87,73,87,1,2
81,83,29,81,84,31,36,27,82,78,82,81,1,2
93,95,31,93,95,23,192,29,95,97,74,90,0,8
82,51,1,83,77,34,42,26,75,75,90,69,1,11
81,73,35,82,80,26,42,26,82,78,90,81,1,1
78,51,21,82,77,32,195,22,77,70,81,80,1,2
79,65,35,79,78,35,195,29,79,77,87,74,1,12
86,52,5,90,87,11,145,23,87,88,77,86,1,6
82,65,35,87,82,27,60,23,79,76,87,71,1,10
77,56,15,77,75,27,159,29,78,77,89,77,1,10
80,72,33,85,81,18,42,22,83,83,77,79,0,8
77,72,8,77,71,26,183,27,80,82,74,80,0,1
83,65,6,86,85,19,78,25,79,76,94,76,1,7
83,79,5,83,78,24,60,28,86,85,89,83,1,9
79,67,15,79,77,20,194,28,78,77,79,71,1,1
89,60,20,89,82,26,135,30,83,61,84,63,1,11
89,38,10,89,84,30,114,31,80,68,74,74,1,11
86,74,10,86,80,26,115,28,87,87,78,85,0,2
82,71,0,82,81,24,0,27,85,83,85,78,1,12
77,57,33,77,75,31,125,30,75,70,81,73,0,12
79,60,1,85,77,33,26,22,80,76,86,78,1,11
83,65,35,83,82,29,24,31,76,74,79,72,1,11
79,71,33,79,72,26,195,30,83,82,73,79,1,10
78,66,29,78,78,29,173,30,78,80,86,72,1,11
85,77,9,85,84,17,78,31,87,86,72,85,1,7
88,83,18,91,88,19,165,25,86,85,85,88,1,2
84,64,10,84,82,35,68,27,79,72,90,77,0,15
80,73,29,80,79,26,30,26,83,84,79,81,1,1
80,71,35,85,80,25,33,23,80,76,80,75,0,11
87,83,18,87,79,29,135,28,87,84,76,87,1,11
85,59,37,85,83,24,63,30,81,77,91,70,0,11
81,58,15,81,82,16,15,30,80,75,87,70,0,9
80,69,37,80,79,22,18,30,82,71,73,79,1,10
81,69,8,81,83,30,26,31,80,71,64,84,1,11
79,61,25,79,69,29,173,30,82,73,67,80,0,2
84,71,37,88,84,25,111,24,86,80,82,89,1,1
77,65,29,88,76,21,14,18,77,78,91,68,1,10
80,72,35,85,74,26,42,23,82,81,79,83,1,2
82,64,35,85,80,19,72,24,84,84,82,85,0,9
78,61,1,81,79,29,202,24,77,73,83,62,1,11
84,59,10,88,83,31,98,24,77,69,85,73,1,11
77,54,15,77,72,24,144,28,72,71,89,56,0,12
81,73,21,81,86,32,33,29,84,74,61,82,1,11
83,73,4,85,82,27,75,25,84,81,90,80,1,11
77,71,21,77,74,26,144,32,80,80,79,75,1,7
83,71,5,83,78,22,60,28,85,90,83,70,1,1
84,56,11,84,79,35,62,29,79,66,77,69,1,13
80,75,4,80,75,23,24,26,82,80,88,75,0,10
82,67,35,82,80,25,30,32,79,74,83,79,1,2
82,52,33,82,80,14,24,30,84,76,80,80,1,1
77,60,8,77,74,26,91,32,74,71,80,59,0,10
80,75,29,88,76,9,59,20,81,83,75,79,0,8
78,71,21,81,77,22,10,24,77,72,89,76,0,11
90,91,17,90,88,30,177,27,87,85,79,78,1,12
82,71,25,85,81,22,72,24,84,81,81,83,1,1
80,66,37,87,80,21,56,21,78,77,80,79,1,10
79,53,35,79,75,23,10,26,84,83,93,63,1,1
76,65,33,77,72,23,126,27,81,77,76,75,1,2
79,65,25,79,81,34,10,26,79,78,86,77,1,11
81,57,33,84,81,16,59,24,84,77,83,83,1,2
83,50,35,83,80,34,21,32,78,64,79,72,1,11
86,76,16,86,81,25,108,29,86,80,80,91,1,10
90,90,20,90,85,46,107,34,90,85,75,83,1,16
87,82,16,90,84,26,156,24,85,84,68,86,0,2
82,74,37,85,79,23,72,24,83,84,78,79,0,8
81,66,33,84,77,19,59,23,84,81,83,81,1,2
79,59,21,86,68,23,20,22,80,81,82,66,1,11
79,75,21,79,77,16,10,26,80,79,75,76,1,10
79,57,33,82,76,18,17,24,76,76,87,65,1,9
80,57,19,82,77,21,26,26,77,69,80,75,0,2
80,73,25,81,75,27,31,25,83,82,80,83,1,11
83,72,35,88,82,24,97,23,85,84,88,82,1,1
74,61,2,74,72,25,50,27,73,75,78,66,0,1
83,51,5,88,77,26,77,22,75,69,80,58,0,11
77,61,29,77,71,32,91,32,75,73,84,54,0,12
78,66,21,78,78,22,173,30,82,67,88,73,1,1
78,74,21,78,78,32,194,28,74,67,92,74,1,1
79,60,21,85,78,21,20,22,78,83,72,75,1,10
79,76,33,79,76,21,10,27,81,80,74,80,1,1
78,58,25,81,76,18,184,25,76,75,80,70,1,10
77,62,8,83,75,27,195,21,80,77,85,78,0,10
80,69,21,80,82,25,26,27,81,80,90,80,1,2
84,65,3,84,82,22,78,28,87,85,69,88,1,10
82,69,25,82,80,23,37,29,80,73,80,84,1,10
78,61,2,78,78,30,159,28,79,76,92,75,1,13
77,73,25,80,76,24,184,25,78,79,75,78,1,10
88,75,22,89,85,29,157,26,85,78,78,88,1,11
79,71,35,82,79,39,17,24,77,79,90,71,1,14
79,73,15,90,76,26,27,19,81,76,70,81,1,1
75,68,25,75,78,27,117,29,78,74,85,77,0,11
77,54,15,82,75,26,194,22,80,77,77,78,0,8
75,60,15,78,75,22,158,25,75,76,88,70,1,9
81,59,21,81,85,27,21,27,81,76,93,66,1,2
83,82,4,87,81,27,96,24,85,87,86,83,1,2
81,78,15,81,85,19,10,33,80,79,70,86,1,8
75,68,29,75,68,20,85,27,75,75,80,67,1,9
88,88,6,91,90,18,167,25,86,87,75,76,0,10
80,62,35,82,84,25,36,25,78,77,94,79,1,10
80,58,29,80,78,23,202,31,78,76,82,56,1,11
81,80,15,84,84,21,59,23,78,72,88,77,1,1
77,57,37,82,70,33,202,23,77,76,89,72,1,2
81,74,37,81,80,21,33,29,85,83,86,82,1,2
82,78,21,82,79,15,53,26,83,88,79,87,1,8
81,57,39,82,79,27,33,25,76,79,83,73,0,10
80,52,21,80,79,14,23,29,80,72,86,76,1,6
83,46,5,83,88,26,56,26,77,70,88,68,1,1
81,66,35,88,80,22,63,21,81,79,79,81,0,13
80,58,21,80,82,18,23,29,84,80,84,81,0,8
83,71,3,83,79,16,66,25,84,87,76,80,0,8
80,69,21,80,80,29,17,32,80,79,65,86,1,9
79,54,15,79,77,20,183,30,82,71,85,64,1,1
77,63,33,77,71,26,91,32,79,80,81,72,0,2
92,89,26,94,88,19,12,24,95,96,79,80,1,10
82,75,39,82,73,34,56,27,85,84,79,81,1,15
79,72,15,79,78,26,202,30,84,74,75,83,1,10
77,65,29,78,77,23,194,25,78,78,86,75,0,10
77,65,21,78,72,30,194,26,80,78,74,78,1,2
83,67,37,83,84,24,56,31,88,86,76,86,1,10
81,68,25,84,77,25,36,25,75,73,88,57,1,11
81,61,33,84,76,28,53,25,85,84,83,82,1,11
80,63,39,84,81,38,27,25,74,74,85,67,1,11
75,60,15,75,82,19,83,28,73,76,84,73,0,10
83,50,3,83,80,26,23,32,75,76,88,62,1,11
81,66,29,86,79,29,40,22,78,75,88,72,1,13
73,67,21,76,71,28,83,24,73,74,85,69,1,13
79,67,29,84,75,21,21,24,83,80,78,80,1,11
77,66,29,77,78,23,159,28,77,74,72,80,1,10
